feature,importance
smoker_encoded,0.5322830079180729
bmi,0.1342234930496538
vehicle_make_encoded,0.12176441685573605
age,0.0913115768636095
usage_type_encoded,0.057104880448258614
annual_mileage,0.020053513358424823
children,0.01099984512495146
vehicle_age,0.009690944147819488
vehicle_category_encoded,0.0085857199218311
fuel_type_encoded,0.00558649104197126
age_group_encoded,0.002811521538895554
region_encoded,0.0027378038768920807
sex_encoded,0.0019528436531772472
old_vehicle,0.0005016153013968683
high_mileage,0.00039232689930914535
